"排序","操作系统","浏览量占比",
"0","Win 7","51.27%",
"1","Win XP","33.23%",
"2","Win 8","5.47%",
"3","Win 10","3.88%",
"4","Mac Os","0.8%",
"5","其他","5.34%",

"Win 7操作系统2015.07.01~2016.07.31浏览量占比"
时间,浏览量占比
="2015.07","48.78%",
="2015.08","49.17%",
="2015.09","50.21%",
="2015.10","51.56%",
="2015.11","52.67%",
="2015.12","52.39%",
="2016.01","50.89%",
="2016.02","51.03%",
="2016.03","51.83%",
="2016.04","51.93%",
="2016.05","52.44%",
="2016.06","52.27%",
="2016.07","51.67%",

"Win XP操作系统2015.07.01~2016.07.31浏览量占比"
时间,浏览量占比
="2015.07","38.73%",
="2015.08","37.97%",
="2015.09","37.13%",
="2015.10","35.61%",
="2015.11","34.04%",
="2015.12","33.37%",
="2016.01","33.04%",
="2016.02","32.86%",
="2016.03","31.58%",
="2016.04","30.74%",
="2016.05","28.86%",
="2016.06","28.31%",
="2016.07","27.67%",

"Win 8操作系统2015.07.01~2016.07.31浏览量占比"
时间,浏览量占比
="2015.07","6.00%",
="2015.08","5.55%",
="2015.09","5.63%",
="2015.10","5.50%",
="2015.11","5.60%",
="2015.12","5.67%",
="2016.01","5.64%",
="2016.02","5.38%",
="2016.03","5.24%",
="2016.04","5.18%",
="2016.05","5.35%",
="2016.06","5.18%",
="2016.07","5.10%",

"Win 10操作系统2015.07.01~2016.07.31浏览量占比"
时间,浏览量占比
="2015.07","0.13%",
="2015.08","1.09%",
="2015.09","1.30%",
="2015.10","1.98%",
="2015.11","2.35%",
="2015.12","3.28%",
="2016.01","4.54%",
="2016.02","4.53%",
="2016.03","5.33%",
="2016.04","5.80%",
="2016.05","6.65%",
="2016.06","7.21%",
="2016.07","7.73%",

"Mac Os操作系统2015.07.01~2016.07.31浏览量占比"
时间,浏览量占比
="2015.07","0.69%",
="2015.08","0.71%",
="2015.09","0.72%",
="2015.10","0.72%",
="2015.11","0.77%",
="2015.12","0.80%",
="2016.01","0.78%",
="2016.02","0.73%",
="2016.03","0.85%",
="2016.04","0.87%",
="2016.05","0.94%",
="2016.06","0.96%",
="2016.07","0.93%",

"其他操作系统2015.07.01~2016.07.31浏览量占比"
时间,浏览量占比
="2015.07","5.67%",
="2015.08","5.50%",
="2015.09","5.01%",
="2015.10","4.62%",
="2015.11","4.57%",
="2015.12","4.49%",
="2016.01","5.10%",
="2016.02","5.47%",
="2016.03","5.17%",
="2016.04","5.46%",
="2016.05","5.76%",
="2016.06","6.08%",
="2016.07","6.90%",

